pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2023-09-26,88.2,-2.69,5.34,"Gausman, Kevin",672724,592332,field_out,hit_into_play,,,,,7.0,Oswald Peraza flies out to right fielder George Springer.,R,R,R,TOR,NYY,X,9.0,fly_ball,1,2,2023,-1.28,0.18,-0.5277125852111677,1.8091000145722549,643396.0,,665828.0,2,7,Top,181.69,132.94,,,,,7.970011845898867,-128.23918296605396,-2.8233588377623287,-15.75414475437554,27.88895205291623,-29.8308007419525,3.2,1.45,217.0,70.3,39.0,88.6,1631.0,6.7,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.79,0.503,0.506,0.0,1.0,0.0,0.0,3.0,48,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,242.0,0.062,-0.222,63.1,6.7,0.624,0.222,88.0,0,0,0.526,0.474,32,23,32,23,3,2,6.0,1.0,7.0,1.0,2.77,1.28,1.28,29.4,4.580754865527348,3.680927498607969,30.958522384663468,33.499903939143024,23.715418499770824
FS,2023-09-26,88.0,-2.44,5.51,"Gausman, Kevin",672724,592332,,swinging_strike,,,,,14.0,Swinging Strike,R,R,R,TOR,NYY,S,,,1,1,2023,-1.32,0.51,0.6403446794536867,0.9663028753753492,643396.0,,665828.0,2,7,Top,,,,,,,10.257305290956356,-127.67740466725728,-5.962036846346488,-16.572595910171383,26.335574028667107,-25.55116830267582,3.2,1.45,,,,88.4,1653.0,6.7,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.79,,,,,,,,48,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,237.0,0.022,-0.074,73.2,8.7,,0.074,,0,0,0.504,0.496,32,23,32,23,3,2,6.0,1.0,7.0,1.0,2.46,1.32,1.32,33.2,19.84365321727816,-35.55790331264098,21.86166519178139,46.41827778177606,51.95189095794379
FS,2023-09-26,85.7,-2.43,5.47,"Gausman, Kevin",672724,592332,,swinging_strike,,,,,14.0,Swinging Strike,R,R,R,TOR,NYY,S,,,1,0,2023,-1.26,0.07,0.0635384193170125,1.0822019247406538,643396.0,,665828.0,2,7,Top,,,,,,,8.52631601719733,-124.4327757766262,-4.2415344768604335,-14.8433718043488,25.229538035478953,-30.793952282187313,3.2,1.45,,,,86.3,1575.0,6.8,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.66,,,,,,,,48,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,238.0,0.008,-0.055,76.6,8.9,,0.055,,0,0,0.496,0.504,32,23,32,23,3,2,6.0,1.0,7.0,1.0,3.05,1.26,1.26,34.9,18.372570142507897,-37.41708242839124,25.45565208000629,39.72555880972777,50.07390317628016
FS,2023-09-26,85.8,-2.5,5.53,"Gausman, Kevin",672724,592332,,ball,,,,,11.0,Ball,R,R,R,TOR,NYY,B,,,0,0,2023,-1.24,0.2,-1.2653183760345394,2.8362189070248895,643396.0,,665828.0,2,7,Top,,,,,,,5.487618088877882,-124.91612250559704,-0.5186786478542105,-14.128764699224051,24.874266547906963,-30.15272644394568,3.084266629438,1.48479082438948,,,,86.7,1667.0,6.8,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.68,,,,,,,,48,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,234.0,-0.004,0.042,,,,-0.042,,0,0,0.5,0.5,32,23,32,23,3,2,6.0,1.0,7.0,1.0,2.89,1.24,1.24,35.6,,,,,
FF,2023-09-26,97.3,-2.36,5.61,"Gausman, Kevin",665828,592332,fielders_choice_out,hit_into_play,,,,,11.0,"Oswaldo Cabrera reaches on a fielder's choice out, shortstop Bo Bichette to catcher Alejandro Kirk. Giancarlo Stanton out at home. Isiah Kiner-Falefa to 3rd.",R,L,R,TOR,NYY,X,6.0,ground_ball,2,2,2023,-0.93,1.23,-1.126043199212278,2.700222991260122,519317.0,643396.0,,1,7,Top,118.12,150.86,,,,,5.481929134796655,-141.46543282042575,-5.094824401672655,-13.776593282990616,33.692108208885045,-14.76373163750834,3.2,1.51,7.0,89.3,-19.0,97.8,2251.0,6.7,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.79,0.097,0.104,0.0,1.0,0.0,0.0,2.0,47,10,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,216.0,0.128,-0.121,66.5,6.5,0.099,0.121,89.3,0,0,0.372,0.628,32,24,32,24,3,2,6.0,1.0,7.0,1.0,1.2,0.93,-0.93,38.5,4.119417184839402,23.326782779242947,21.933195904841757,46.0316801150687,14.541691503235292
FS,2023-09-26,87.6,-2.49,5.49,"Gausman, Kevin",665828,592332,,foul,,,,,5.0,Foul,R,L,R,TOR,NYY,S,,,2,2,2023,-1.32,0.33,-0.0548078039601693,2.081371342591059,519317.0,643396.0,,1,7,Top,,,,,,,8.636447538800947,-127.21954922231292,-2.7696052782193075,-16.06430710622699,26.40925596256023,-28.209803317144292,3.2,1.51,171.0,63.5,44.0,87.9,1665.0,6.6,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.88,,,,,,,,47,9,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,236.0,0.0,0.0,65.8,7.7,,0.0,88.0,0,0,0.372,0.628,32,24,32,24,3,2,6.0,1.0,7.0,1.0,2.65,1.32,-1.32,36.6,14.141552598950588,-27.033153369284925,33.27919953995893,33.56414750719837,43.2764668296976
FS,2023-09-26,87.5,-2.65,5.43,"Gausman, Kevin",665828,592332,,ball,,,,,13.0,Ball,R,L,R,TOR,NYY,B,,,1,2,2023,-1.58,0.16,-1.6335221672539806,0.7401589500822467,519317.0,,643396.0,1,7,Top,,,,,,,5.762064049979485,-127.14197891701336,-5.458216627635197,-18.337213200095135,28.958042979226857,-29.451977700473396,3.24890423632888,1.62619921608866,,,,87.7,1887.0,6.8,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.74,,,,,,,,47,8,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,235.0,-0.045,0.04,,,,-0.04,,0,0,0.417,0.583,32,24,32,24,3,2,6.0,1.0,7.0,1.0,2.86,1.58,-1.58,30.2,,,,,
FF,2023-09-26,97.1,-2.31,5.61,"Gausman, Kevin",665828,592332,,foul,,,,,7.0,Foul,R,L,R,TOR,NYY,S,,,1,2,2023,-1.01,1.31,-0.4134421072081748,1.8895272605076836,519317.0,,643396.0,1,7,Top,,,,,,,7.440922720515832,-140.9645277587158,-7.356001902420033,-15.320201659185464,36.90454693469413,-13.125373465616066,3.2,1.51,185.0,77.2,59.0,96.8,2355.0,6.6,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.89,,,,,,,,47,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,222.0,0.0,0.0,67.7,7.1,,0.0,88.0,0,0,0.417,0.583,32,24,32,24,3,2,6.0,1.0,7.0,1.0,1.15,1.01,-1.01,33.2,0.8579541274345773,1.570254561493038,34.509800912664616,37.26397129357565,26.821742728269623
FS,2023-09-26,86.1,-2.59,5.52,"Gausman, Kevin",665828,592332,,foul,,,,,13.0,Foul,R,L,R,TOR,NYY,S,,,1,2,2023,-1.48,0.14,-1.0405820561703258,1.3172598644423714,519317.0,,643396.0,1,7,Top,,,,,,,6.735991120696767,-125.15404272169762,-3.9519303761138183,-16.902667134306018,28.72349584285148,-29.986899652641405,3.2,1.51,186.0,70.2,48.0,86.3,1795.0,6.8,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.69,,,,,,,,47,6,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,235.0,0.0,0.0,65.4,7.2,,0.0,88.0,0,0,0.417,0.583,32,24,32,24,3,2,6.0,1.0,7.0,1.0,2.97,1.48,-1.48,34.1,2.0337081004907267,11.272270634286295,34.64321621595091,45.28711234188434,24.321355629059603
FF,2023-09-26,91.9,-2.36,5.63,"Gausman, Kevin",665828,592332,,ball,,,,,13.0,Ball,R,L,R,TOR,NYY,B,,,0,2,2023,-0.96,1.2,-1.0775602549809888,1.8352183317820443,519317.0,,643396.0,1,7,Top,,,,,,,5.347948840710182,-133.59348331741143,-6.326056848674317,-12.710550057920312,31.813062010590897,-16.567812368813662,3.27242001005529,1.55549862988009,,,,91.9,2235.0,6.6,716431,672386,665489,624415,656305,666182,662139,595281,543807,53.94,,,,,,,,47,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218.0,-0.012,0.002,,,,-0.002,,0,0,0.429,0.571,32,24,32,24,3,2,6.0,1.0,7.0,1.0,1.52,0.96,-0.96,34.2,,,,,
